surah,ayah,arabic,translation
2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"4਼ ਅਤੇ ਉਹ ਜਿਹੜੇ ਇਸ (ਕੁਰਆਨ) ਉੱਤੇ ਈਮਾਨ ਲਿਆਏ ਹਨ, ਜਿਹੜਾ (ਹੇ ਮੁਹੰਮਦ!) ਤੁਹਾਡੇ ’ਤੇ ਉਤਾਰਿਆ ਗਿਆ ਹੈ ਅਤੇ ਉਹਨਾਂ ’ਤੇ ਵੀ (ਈਮਾਨ ਲਿਆਉਂਦੇ ਹਨ) ਜਿਹੜੀਆਂ ਕਿਤਾਬਾਂ ਤੁਹਾਥੋਂ ਪਹਿਲਾਂ (ਨਬੀਆਂ ’ਤੇ) ਉਤਾਰੀਆਂ ਗਈਆਂ ਅਤੇੁ 2 ਉਹ ਆਖ਼ਿਰਤ ਉੱਤੇ ਵੀ ਈਮਾਨ ਰੱਖਦੇ ਹਨ।"
2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,5਼ ਇਹੋ ਲੋਕ (ਰੱਬ ਵੱਲੋਂ) ਸਿੱਧੇ ਰਾਹ ਉੱਤੇ ਹਨ ਅਤੇ ਇਹੋ ਸਫ਼ਲਤਾ ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਹਨ।
2,,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"6਼ ਬੇਸ਼ਕ ਉਹ ਲੋਕ ਜਿਹੜੇ (ਕੁਰਆਨ ਦਾ) ਇਨਕਾਰ ਕਰਦੇ ਹਨ, (ਹੇ ਨਬੀ!) ਤੁਸੀਂ ਉਹਨਾਂ ਨੂੰ (ਨਰਕ ਦੇ ਅਜ਼ਾਬ ਤੋਂ) ਡਰਾਓ ਜਾਂ ਨਾ ਡਰਾਓ, ਉਹਨਾਂ ਲਈ ਇਕ ਬਰਾਬਰ ਹੈ, ਉਹ ਈਮਾਨ ਲਿਆਉਣ ਵਾਲੇ ਨਹੀਂ।"
2,,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,7਼ ਅੱਲਾਹ ਨੇ ਉਹਨਾਂ ਦੇ ਦਿਲਾਂ ਤੇ ਕੰਨਾਂ ਉੱਤੇ ਮੋਹਰ ਲਾ ਦਿੱਤੀ ਹੈ ਅਤੇ ਉਹਨਾਂ ਦੀਆਂ ਅੱਖਾਂ ਉੱਤੇ ਪੜਦਾ ਪਿਆ ਹੋਇਆ ਹੈ। ਉਹਨਾਂ ਲਈ ਕਰੜੀ ਸਜ਼ਾ (ਦਾ ਪ੍ਰਬੰਧ) ਹੈ।
2,,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,8਼ ਕੁੱਝ ਲੋਕ ਅਜਿਹੇ ਵੀ ਹਨ ਜਿਹੜੇ ਆਖਦੇ ਹਨ ਕਿ ਅਸੀਂ ਅੱਲਾਹ ਤੇ ਆਖ਼ਿਰਤ ਦੇ ਦਿਨ ਉੱਤੇ ਈਮਾਨ ਲਿਆਏ ਹਾਂ ਜਦੋਂ ਕਿ ਉਹ ਈਮਾਨ ਵਾਲੇ ਨਹੀਂ।
2,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,9਼ ਉਹ ਤਾਂ ਅੱਲਾਹ ਨੂੰ ਅਤੇ ਉਹਨਾਂ ਲੋਕਾਂ ਨੂੰ ਧੋਖਾ ਦੇ ਰਹੇ ਹਨ ਜਿਹੜੇ ਈਮਾਨ ਵਾਲੇ ਹਨ ਜਦੋਂ ਕਿ ਉਹ ਆਪਣੇ ਆਪ ਤੋਂ ਛੁੱਟ ਹੋਰ ਕਿਸੇ ਨੰ ਧੋਖਾ ਨਹੀਂ ਦੇ ਰਹੇ ਅਤੇ ਉਹਨਾਂ ਨੂੰ (ਇਸ ਦੀ) ਸਮਝ ਵੀ ਨਹੀਂ।
2,,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,10਼ ਉਹਨਾਂ ਦੇ ਦਿਲਾਂ ਨੂੰ ਇਕ ਰੋਗ (ਈਰਖਾ ਦਾ) ਲੱਗਿਆ ਹੋਇਆ ਹੈ ਅਤੇ ਅੱਲਾਹ ਨੇ ਉਹਨਾਂ ਦੇ ਇਸ ਰੋਗ ਨੂੰ ਹੋਰ ਵੀ ਵਧਾ ਦਿੱਤਾ ਹੈ। ਉਹਨਾਂ ਲਈ ਦੁਖਦਾਈ ਅਜ਼ਾਬ ਹੈ ਇਸ ਲਈ ਕਿ ਉਹ ਝੂਠ ਬੋਲਦੇ ਸਨ।
2,,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,11 ਅਤੇ ਜਦੋਂ ਉਹਨਾਂ ਨੂੰ ਆਖਿਆ ਜਾਂਦਾ ਹੈ ਕਿ ਧਰਤੀ ਉੱਤੇ ਵਿਗਾੜ ਨਾ ਫੈਲਾਓ ਤਾਂ ਉਹ ਕਹਿੰਦੇ ਹਨ ਕਿ ਅਸੀਂ ਤਾਂ ਸੁਧਾਰ ਕਰਨ ਵਾਲੇ ਹਾਂ।
2,,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,12 ਸੁਣੋ! ਅਸਲ ਵਿਚ ਇਹੋ ਲੋਕ ਫ਼ਸਾਦੀ ਹਨ ਪਰ ਇਹ ਨਹੀਂ ਸਮਝਦੇ!
2,,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ,"13 ਅਤੇ ਜਦੋਂ ਉਹਨਾਂ ਨੂੰ ਕਿਹਾ ਜਾਂਦਾ ਕਿ ਤੁਸੀਂ ਵੀ ਇੰਜ ਹੀ ਈਮਾਨ ਲਿਆਓ ਜਿਵੇਂ ਦੂਜੇ ਲੋਕ ਈਮਾਨ ਲਿਆਏ ਹਨ ਤਾਂ ਕਹਿੰਦੇ ਹਨ, “ਕੀ ਅਸੀਂ ਵੀ ਮੂਰਖਾਂ ਵਾਂਗ ਈਮਾਨ ਲਿਆਈਏ?” ਖ਼ਬਰਦਾਰ! ਅਸਲ ਵਿਚ ਮੂਰਖ ਤਾਂ ਇਹ ਆਪ ਹਨ ਪਰ ਉਹ (ਇਹ ਗੱਲ) ਜਾਣਦੇ ਨਹੀਂ।"
2,,وَإِذَا لَقُواْ ٱلَّذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّا وَإِذَا خَلَوۡاْ إِلَىٰ شَيَٰطِينِهِمۡ قَالُوٓاْ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ,"14਼ ਜਦੋਂ ਇਹ (ਮੁਨਾਫ਼ਿਕ) ਈਮਾਨ ਵਾਲਿਆਂ ਨੂੰ ਮਿਲਦੇ ਹਨ ਤਾਂ ਕਹਿੰਦੇ ਹਨ ਕਿ ਅਸੀਂ ਵੀ ਈਮਾਨ ਲਿਆਏ ਹਾਂ ਪਰ ਜਦੋਂ ਉਹ ਆਪਣੇ ਸ਼ੈਤਾਨਾਂ (ਭਾਵ ਸਾਥੀਆਂ) ਨੂੰ ਇਕਾਂਤ ਵਿਚ ਮਿਲਦੇ ਹਨ ਤਾਂ ਆਖਦੇ ਹਨ ਕਿ ਅਸੀਂ ਤਾਂ ਤੁਹਾਡੇ ਨਾਲ ਹਾਂ, ਉਹਨਾਂ (ਮੁਸਲਮਾਨਾਂ) ਲੋਕਾਂ ਨਾਲ ਤਾਂ ਅਸੀਂ ਕੇਵਲ ਮਖੌਲ ਕਰਦੇ ਹਾਂ।"
2,,ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,15਼ (ਜਦ ਕਿ) ਅੱਲਾਹ ਉਹਨਾਂ ਨਾਲ ਮਖੌਲ ਕਰਦਾ ਹੈ ਅਤੇ ਉਹ ਉਹਨਾਂ ਨੂੰ ਢਿੱਲ ਦੇ ਰਿਹਾ । ਇਹ (ਮੁਨਾਫ਼ਿਕ) ਆਪਣੀ ਸਰਕਸ਼ੀ ਵਿਚ ਭਟਕਦੇ ਫਿਰਦੇ ਹਨ।
2,,أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ,16਼ ਇਹ ਉਹ ਲੋਕ ਹਨ ਜਿਨ੍ਹਾਂ ਨੇ ਹਿਦਾਇਤ ਦੀ ਥਾਂ ਗੁਮਰਾਹੀ ਖ਼ਰੀਦ ਲਈ ਹੈ ਪਰ ਇਹ ਸੌਦਾ ਉਹਨਾਂ ਲਈ ਕੋਈ ਲਾਹੇਵੰਦ ਨਹੀਂ ਅਤੇ ਨਾ ਹੀ ਉਹਨਾਂ ਨੂੰ ਹਿਦਾਇਤ ਹੀ ਮਿਲ ਸਕੀ।
2,,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِي ظُلُمَٰتٖ لَّا يُبۡصِرُونَ,"17਼ ਉਹਨਾਂ (ਮੁਨਫ਼ਿਕਾਂ) ਦੀ ਉਦਾਹਰਨ ਤਾਂ ਉਸ ਵਿਅਕਤੀ ਵਾਂਗ ਰੁ ਜਿਸ ਨੇ ਅ=ਗ ਬਾਲੀ ਅਤੇ ਜਦੋਂ ਉਸ (ਅੱਗ) ਨੇ ਉਸ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਚਾਨਣ ਕਰ ਦਿੱਤਾ ਤਾਂ ਅੱਲਾਹ ਨੇ ਉਹਨਾਂ ਦੀ (ਅੱਖਾਂ ਦੀ) ਰੋਸ਼ਨੀ ਨੂੰ ਖੋਹ ਲਿਆ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਹਨੇਰਿਆਂ ਵਿਚ ਭਟਕਣ ਲਈ ਛੱਡ ਦਿੱਤਾ, ਜਿੱਥੇ ਉਹ ਕੁੱਝ ਵੇਖ ਵੀ ਨਹੀਂ ਸਕਦੇ।"
2,,صُمُّۢ بُكۡمٌ عُمۡيٞ فَهُمۡ لَا يَرۡجِعُونَ,"18਼ ਇਹ (ਕਾਫ਼ਿਰ ਲੋਕ) ਗੂੰਗੇ, ਬੋਲੇ ਅਤੇ ਅੰਨ੍ਹੇ ਹਨ, ਹੁਣ ਇਹ (ਈਮਾਨ ਵੱਲ) ਨਹੀਂ ਪਰਤਣਗੇਂ।"
2,,أَوۡ كَصَيِّبٖ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعۡدٞ وَبَرۡقٞ يَجۡعَلُونَ أَصَٰبِعَهُمۡ فِيٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِيطُۢ بِٱلۡكَٰفِرِينَ,"19਼ ਜਾਂ ਇਹਨਾਂ ਕਾਫ਼ਿਰਾਂ ਦੀ ਉਦਾਹਰਨ ਉਸ ਤੇਜ਼ ਮੀਂਹ ਵਾਂਗ ਹੈ ਜਿਹੜਾ ਅਕਾਸ਼ ਤੋਂ ਵਰ੍ਹਿਆ ਜਿਸ ਵਿਚ ਹਨੇਰ, ਕੜਕ ਤੇ ਬਿਜਲੀ (ਦੀ ਲਿਸ਼ਕ) ਹੁੰਦੀ ਹੈ। ਉਹ ਬਿਜਲੀ ਦੀ ਕੜਕ ਸੁਣਕੇ ਮੌਤ ਤੋਂ ਡਰਦੇ ਹੋਏ ਆਪਣੇ ਉਂਗਲ ਆਪਣੇ ਕੰਨਾਂ ਵਿਚ ਠੋਸ ਲੈਂਦੇ ਹਨ। ਅੱਲਾਹ ਇਹਨਾਂ ਇਨਕਾਰੀਆਂ ਨੂੰ (ਕਿਆਮਤ ਦਿਹਾੜੇ) ਘੇਰਨ ਵਾਲਾ ਹੈ।"
2,,يَكَادُ ٱلۡبَرۡقُ يَخۡطَفُ أَبۡصَٰرَهُمۡۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوۡاْ فِيهِ وَإِذَآ أَظۡلَمَ عَلَيۡهِمۡ قَامُواْۚ وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,20਼ ਸੰਭਵ ਹੈ ਕਿ ਬਿਜਲੀ ਇਹਨਾਂ (ਕਾਫ਼ਿਰਾਂ) ਦੀਆਂ ਅੱਖਾਂ (ਦੀ ਜੋਤ ਹੀ) ਉਚਕ ਲੈ ਜਾਵੇ। ਜਦੋਂ ਬਿਜਲੀ ਲਿਸ਼ਕਦੀ ਰੁ ਤਾਂ ਉਹ ਉਸ ਦੀ ਰੋਸ਼ਨੀ ਵਿਚ ਤੁਰਨ ਲੱਗ ਪੈਂਦੇ ਹਨ ਜਦੋਂ ਹਨੇਰਾ ਪਸਰ ਜਾਂਦਾ ਹੈ ਤਾਂ ਖਲੋ ਜਾਂਦੇ ਹਨ। ਜੇ ਅੱਲਾਹ ਚਾਹਵੇ ਤਾਂ ਇਹਨਾਂ ਦੇ ਕੰਨ (ਸੁਣਨ ਸ਼ਕਤੀ) ਅਤੇ ਅੱਖਾਂ (ਵੇਖਣ ਸ਼ਕਤੀ) ਖੋਹ ਸਕਦਾ ਹੈ ਕਿਉਂ ਜੋ ਅੱਲਾਹ ਹਰ ਤਰ੍ਹਾਂ ਦੀ ਸਮਰਥਾ ਰੱਖਦਾ ਹੈ।
2,,يَٰٓأَيُّهَا ٱلنَّاسُ ٱعۡبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمۡ وَٱلَّذِينَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ,21 ਹੇ ਲੋਕੋ! ਤੁਸੀਂ ਆਪਣੇ ਉਸ ਰੱਬ ਦੀ ਇਬਾਦਤ ਕਰੋ ਜਿਸ ਨੇ ਤੁਹਾਨੂੰ ਪੈਦਾ ਕੀਤਾ ਹੈ ਅਤੇ ਉਹਨਾਂ ਲੋਕਾਂ ਨੂੰ ਵੀ ਜਿਹੜੇ ਤੁਹਾਥੋਂ ਪਹਿਲਾਂ ਬੀਤ ਚੁੱਕੇ ਹਨ ਤਾਂ ਜੋ ਤੁਸੀਂ ਬੁਰਾਈਆਂ ਤੋਂ ਬਚਣ ਵਾਲੇ ਬਣ ਸਕੋ।
2,,ٱلَّذِي جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرَٰشٗا وَٱلسَّمَآءَ بِنَآءٗ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءٗ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزۡقٗا لَّكُمۡۖ فَلَا تَجۡعَلُواْ لِلَّهِ أَندَادٗا وَأَنتُمۡ تَعۡلَمُونَ,"22਼ ਉਹ (ਰਬ) ਜਿਸਨੇ ਤੁਹਾਡੇ ਲਈ ਧਰਤੀ ਦਾ ਫ਼ਰਸ਼ ਵਿਛਾਇਆ ਅਤੇ ਅਕਾਸ਼ ਦੀ ਛ=ਤ ਬਣਾਈ ਅਤੇ ਉਸੇ ਅਕਾਸ਼ ਤੋਂ ਪਾਣੀ (ਮੀਂਹ) ਉਤਾਰਿਆ, ਉਸੇ ਰਾਹੀਂ (ਧਰਤੀ ਵਿ=ਚੋਂ ਅਨੇਕਾਂ ਪ੍ਰਕਾਰ ਦੀ) ਉਪਜ ਕ=ਢ ਕੇ ਤੁਹਾਡੇ ਲਈ ਰੋਜ਼ੀ ਦਾ ਪ੍ਰਬੰਧ ਕੀਤਾ ਸੋ ਤੁਸੀਂ ਕਿਸੇ ਹੋਰ ` ਅੱਲਾਹ ਦਾ ਸ਼ਰੀਕੁ11॥ (ਸਾਂਝੀ) ਨਾ ਬਣਾਉ ਜਦ ਕਿ ਤੁਸੀਂ ਇਸ ਗ=ਲ ` ਭਲੀ-ਭਾਂਤ ਜਾਣਦੇ ਵੀ ਹੋ।"
2,,وَإِن كُنتُمۡ فِي رَيۡبٖ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُواْ بِسُورَةٖ مِّن مِّثۡلِهِۦ وَٱدۡعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَٰدِقِينَ,"23਼ ਜੇਕਰ ਤੁਹਾਨੂੰ ਇਸ (ਕੁਰਆਨ) ਦੇ ਸੰਬੰਧ ਵਿਚ ਕੋਈ ਸ਼ੰਕਾ ਹੈ ਜਿਹੜਾ ਅਸੀਂ (ਅੱਲਾਹ) ਨੇ ਆਪਣੇ ਬੰਦੇ (ਮੁਹੰਮਦ) ’ਤੇ ਉਤਾਰਿਆ ਹੈ ਤਾਂ ਤੁਸੀਂ ਇਹੋ ਜਿਹੀ ਇਕ ਸੂਰਤ ਬਣਾ ਲਿਆਓ ਅਤੇ ਛੁਟ ਅੱਲਾਹ ਤੋਂ ਆਪਣੇ ਸਾਥੀਆਂ ਨੂੰ ਸਹਾਇਤਾ ਲਈ ਸੱਦ ਲਵੋ, ਜੇ ਤੁਸੀਂ ਸੱਚੇ ਹੋ (ਤਾਂ ਕਰਕੇ ਵਿਖਾਓ)।"
2,,فَإِن لَّمۡ تَفۡعَلُواْ وَلَن تَفۡعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُۖ أُعِدَّتۡ لِلۡكَٰفِرِينَ,"24਼ ਜੇ ਤੁਸੀਂ (ਇਹ ਕੰਮ) ਨਾ ਕਰ ਸਕੇ, ਅਤੇ ਤੁਸੀਂ ਕਰ ਵੀ ਨਹੀਂ ਸਕਦੇ, ਤਾਂ ਉਸ ਅੱਗ ਤੋਂ ਬਚੋ ਜਿਸ ਦਾ ਬਾਲਣ ਮਨੁੱਖ ਤੇ ਪੱਥਰ ਹਨ ਅਤੇ ਉਹ ਕਾਫ਼ਿਰਾਂ ਲਈ ਤਿਆਰ ਕੀਤੀ ਗਈ ਹੈ।"
2,,وَبَشِّرِ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمۡ جَنَّٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۖ كُلَّمَا رُزِقُواْ مِنۡهَا مِن ثَمَرَةٖ رِّزۡقٗا قَالُواْ هَٰذَا ٱلَّذِي رُزِقۡنَا مِن قَبۡلُۖ وَأُتُواْ بِهِۦ مُتَشَٰبِهٗاۖ وَلَهُمۡ فِيهَآ أَزۡوَٰجٞ مُّطَهَّرَةٞۖ وَهُمۡ فِيهَا خَٰلِدُونَ,25਼ (ਹੇ ਨਬੀ!) ਉਹਨਾਂ ਲੋਕਾਂ ਨੂੰ ਖ਼ੁਸ਼ਖ਼ਬਰੀ ਸੁਣਾ ਦਿਓ ਜਿਹੜੇ ਈਮਾਨ ਲਿਆਏ ਅਤੇ ਨੇਕ ਕੰਮ ਵੀ ਕਰਦੇ ਹਨ ਕਿ ਬੇਸ਼=ਕ ਉਹਨਾਂ ਲਈ ਅਜਿਹੇ ਬਾਗ਼ ਹਨ ਜਿਨ੍ਹਾਂ ਹੇਠ ਨਹਿਰਾਂ ਵਗਦੀਆਂ ਹਨ। ਜਦੋਂ ਵੀ ਉਨਾਂ ਨੂੰ ੳੱਥੇ ਕੋਈ ਫਲ ਖਾਣ ਲਈ ਦਿੱਤਾ ਜਾਵੇਗਾ ਤਾਂ (ਜੰਨਤੀ) ਆਖਣਗੇ ਕਿ ਇਹ ਤਾਂ ਓਹੀਓ (ਫਲ) ਹੈ ਜਿਹੜਾ ਇਸ ਤੋਂ ਪਹਿਲਾਂ ਸਾਨੂੰ (ਸੰਸਾਰ ਵਿਚ) ਦਿੱਤਾ ਗਿਆ ਸੀ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉਸ ਨਾਲ ਰਲਦਾ-ਮਿਲਦਾ ਹੀ ਫਲ ਦਿੱਤਾ ਜਾਵੇਗਾ ਅਤੇ ਉਹਨਾਂ ਲਈ ਉੱਥੇ (ਸਵਰਗ ਵਿਚ) ਪਵਿੱਤਰ ਪਤਨੀਆਂ ਹੋਣਗੀਆਂ1 ਅਤੇ ਉਹ (ਸਭ) ਉਨ੍ਹਾਂ ਬਾਗ਼ਾਂ ਵਿਚ ਸਦਾ ਲਈ ਰਹਿਣਗੇ।
